 5.421633720E-01 -7.718694806E-01
 5.467399955E-01 -7.633299828E-01
 5.460872054E-01 -7.580215931E-01
 5.447738767E-01 -7.526298761E-01
 5.432205200E-01 -7.472764254E-01
 5.416439772E-01 -7.411985993E-01
 5.401862264E-01 -7.349125743E-01
 5.384773016E-01 -7.277927995E-01
 5.366404057E-01 -7.202780247E-01
 5.346844792E-01 -7.121704221E-01
 5.324665904E-01 -7.029628158E-01
 5.300077796E-01 -6.927890182E-01
 5.272263288E-01 -6.813526750E-01
 5.240697861E-01 -6.682705283E-01
 5.203168988E-01 -6.527988911E-01
 5.159081221E-01 -6.345412731E-01
 5.112230778E-01 -6.151232123E-01
 5.065140128E-01 -5.956698060E-01
 5.018168092E-01 -5.762134790E-01
 4.971053004E-01 -5.567606091E-01
 4.924126863E-01 -5.373030901E-01
 4.877052903E-01 -5.178493857E-01
 4.830374122E-01 -4.983859956E-01
 4.783020020E-01 -4.789389968E-01
 4.735221863E-01 -4.595027864E-01
 4.686852992E-01 -4.400807917E-01
 4.638015926E-01 -4.206703901E-01
 4.588651061E-01 -4.012734890E-01
 4.539045095E-01 -3.818826973E-01
 4.488424957E-01 -3.625181019E-01
 4.436725080E-01 -3.431820869E-01
 4.383611977E-01 -3.238843977E-01
 4.329743087E-01 -3.046076000E-01
 4.275099933E-01 -2.853527069E-01
 4.219346941E-01 -2.661294937E-01
 4.162554145E-01 -2.469370067E-01
 4.104585946E-01 -2.277794927E-01
 4.045321941E-01 -2.086618990E-01
 3.984451890E-01 -1.895948052E-01
 3.921343982E-01 -1.706005931E-01
 3.856078088E-01 -1.516793966E-01
 3.788000047E-01 -1.328576058E-01
 3.717147112E-01 -1.141384020E-01
 3.644283116E-01 -9.549667686E-02
 3.567408025E-01 -7.701706141E-02
 3.487080038E-01 -5.868462101E-02
 3.404918015E-01 -4.043361172E-02
 3.318583965E-01 -2.237671055E-02
 3.227271140E-01 -4.566119984E-03
 3.131943941E-01 1.303267013E-02
 3.031505048E-01 3.034476936E-02
 2.925237119E-01 4.730416834E-02
 2.811489105E-01 6.377135962E-02
 2.690537870E-01 7.971505821E-02
 2.559885979E-01 9.487476200E-02
 2.417118996E-01 1.088889986E-01
 2.262139022E-01 1.215417981E-01
 2.093636990E-01 1.323245019E-01
 1.910541952E-01 1.403611004E-01
 1.716829985E-01 1.452849060E-01
 1.517543942E-01 1.469049007E-01
 1.317847073E-01 1.457616985E-01
 1.122051999E-01 1.417157948E-01
 9.360962361E-02 1.343654990E-01
 7.595313340E-02 1.249575987E-01
 5.979441106E-02 1.131853014E-01
 4.656938091E-02 9.995374829E-02
 3.690253943E-02 8.822139353E-02
 2.924573980E-02 7.802627236E-02
 2.308481000E-02 6.895597279E-02
 1.777363941E-02 6.093312055E-02
 1.338506024E-02 5.355130881E-02
 1.004252955E-02 4.664257169E-02
 7.429600228E-03 4.011733830E-02
 5.258840043E-03 3.401577845E-02
 3.791759955E-03 2.841993049E-02
 2.697679913E-03 2.278071083E-02
 1.991860103E-03 1.824375056E-02
 1.396900043E-03 1.369403023E-02
 8.850899758E-04 9.134709835E-03
 0.000000000E+00 0.000000000E+00
 0.000000000E+00 2.384185827E-08
 8.151200018E-04 -4.384672735E-03
 1.678789966E-03 -8.760726079E-03
 2.639550017E-03 -1.311907731E-02
 4.010320175E-03 -1.827309094E-02
 5.965009797E-03 -2.347222529E-02
 9.224800393E-03 -2.881751023E-02
 1.396316011E-02 -3.393749148E-02
 1.958020031E-02 -3.951457888E-02
 2.658515051E-02 -4.533497244E-02
 3.496031836E-02 -5.199561268E-02
 4.509774968E-02 -6.013790518E-02
 5.799055099E-02 -7.049039751E-02
 7.351569086E-02 -8.300498873E-02
 8.907646686E-02 -9.564117342E-02
 1.045676023E-01 -1.083624139E-01
 1.199679002E-01 -1.211935058E-01
 1.352611929E-01 -1.341517866E-01
 1.504057050E-01 -1.472838819E-01
 1.653988063E-01 -1.605879962E-01
 1.801224947E-01 -1.741900146E-01
 1.947252005E-01 -1.879219711E-01
 2.092037052E-01 -2.017848194E-01
